"","rawp","q.value","Bonferroni","R.fold"
"AHCYL2",0,0,0,0.576371542451721
"MACROD1",0,0,0,0.576768801571151
"NCS1",0,0,0,0.577328369906369
"POMGNT1",0,0,0,0.577396510480382
"KCNJ3",0,0,0,0.577664000409612
"EGF",0,0,0,0.577744995444346
"TACO1",0,0,0,0.577825078735575
"CTDSPL",0,0,0,0.577853479108335
"PLCE1",0,0,0,0.578102708913464
"TLN2",0,0,0,0.578295499618002
"GATB",0,0,0,0.579455954116331
"PCP4",0,0,0,0.579546016423559
"INSR",0,0,0,0.579609720657117
"ESRRG",0,0,0,0.579763567057826
"ACADL",0,0,0,0.579853686468735
"CNNM2",0,0,0,0.580471819308503
"EBP",0,0,0,0.580601672059731
"CHUK",0,0,0,0.580738760856007
"SERPINA5",0,0,0,0.581014981824616
"COASY",0,0,0,0.581492830510041
"KCNK10",0,0,0,0.581677675349014
"SLC17A5",0,0,0,0.582197002474205
"PRRG2",0,0,0,0.582476220469011
"ACADSB",0,0,0,0.58303886455948
"TCTA",0,0,0,0.583114682981568
"ATRN",0,0,0,0.583199889662109
"NDNF",0,0,0,0.583388021182906
"ALAD",0,0,0,0.583696888020658
"SLC28A1",0,0,0,0.58384042206503
"SPACA9",0,0,0,0.58413016563519
"SLC25A11",0,0,0,0.584343231803512
"ATG4A",0,0,0,0.584869391302238
"SAMM50",0,0,0,0.585304052930689
"RMDN3",0,0,0,0.585968998371175
"PNPO",0,0,0,0.586093041363714
"HADHA",0,0,0,0.58627051651852
"C11orf71",0,0,0,0.586474306251313
"SLC39A7",0,0,0,0.586748485292182
"ALB",0,0,0,0.5867630637277
"SLC16A1",0,0,0,0.586895100397291
"PEX5",0,0,0,0.587092337385045
"SPAG5",0,0,0,0.587110645359387
"SLC35A2",0,0,0,0.58726176941949
"ARHGAP28",0,0,0,0.587830235597197
"GHITM",0,0,0,0.588021538189304
"DIP2C",0,0,0,0.58811490359193
"VEGFA",0,0,0,0.588268300682568
"AGBL5",0,0,0,0.58917220657107
"PLEKHA6",0,0,0,0.589330977905939
"HAGH",0,0,0,0.589973088146108
"GPHN",0,0,0,0.590017455850207
"CCDC106",0,0,0,0.590341795208005
"RNF123",0,0,0,0.590346631409528
"THRA",0,0,0,0.590506061075986
"IDH3A",0,0,0,0.590564198050685
"YIPF6",0,0,0,0.591090587631392
"PDHA1",0,0,0,0.591531300191298
"SLC25A4",0,0,0,0.591776786272415
"MME",0,0,0,0.592113990520928
"TRPM6",0,0,0,0.592310963204456
"ANXA9",0,0,0,0.592456275503467
"FBXO3",0,0,0,0.592503469935869
"PREPL",0,0,0,0.592763390094433
"SLC13A3",0,0,0,0.592912662397299
"AP1M2",0,0,0,0.593127206937107
"DHCR7",0,0,0,0.593179221620094
"KIF16B",0,0,0,0.593335466297491
"APOO",0,0,0,0.593432046951821
"ATP6V1D",0,0,0,0.593457713116962
"DUS4L",0,0,0,0.593608656679957
"THRB",0,0,0,0.593725014457888
"IDH3B",0,0,0,0.593907595518834
"TBC1D13",0,0,0,0.59435671668233
"MYH14",0,0,0,0.594427347705392
"ATP5MC3",0,0,0,0.594611728330652
"RGS7",0,0,0,0.595486851755863
"TXN2",0,0,0,0.596044693954529
"ATP6V0A4",0,0,0,0.59606826456539
"PFKFB2",0,0,0,0.596202383958164
"ACOT11",0,0,0,0.596334064713208
"PRKCA",0,0,0,0.596531715079351
"LARP4",0,0,0,0.596785519630179
"CFAP410",0,0,0,0.597104828025722
"FABP1",0,0,0,0.597116941803965
"MIEF1",0,0,0,0.597428507224233
"ST6GALNAC2",0,0,0,0.597728093481312
"GABARAPL1",0,0,0,0.598423503189495
"ESRRA",0,0,0,0.598484212913609
"THEM6",0,0,0,0.598518380182001
"HIRIP3",0,0,0,0.599201227416055
"LIN7A",0,0,0,0.599458224915462
"RPRD1A",0,0,0,0.599507701680584
"TMPRSS2",0,0,0,0.600506756936641
"RBBP9",0,0,0,0.600574046308954
"SORT1",0,0,0,0.600842070948679
"PHLDA1",0,0,0,0.601096066193457
"MCCC1",0,0,0,0.60122329255955
"ACOX1",0,0,0,0.602209898775555
"TM9SF4",0,0,0,0.602602062676114
"SERPINA4",0,0,0,0.602711801816221
"COA3",0,0,0,0.602759297864639
"MIPEP",0,0,0,0.603081803069532
"PCBP2",0,0,0,0.60314058692997
"TFB2M",0,0,0,0.603185316648467
"NAXE",0,0,0,0.603446177776546
"RRAGD",0,0,0,0.603642123050357
"NDUFS3",0,0,0,0.604217241247534
"ANO10",0,0,0,0.604436447820036
"INPP5J",0,0,0,0.604613233427974
"ANKRD46",0,0,0,0.604899718045482
"CKMT2",0,0,0,0.60504564292023
"SLC12A3",0,0,0,0.605214503110519
"SLC19A2",0,0,0,0.60525228072128
"MAIP1",0,0,0,0.6052619490011
"IPO13",0,0,0,0.605512764229124
"NDUFAF4",0,0,0,0.605626921806495
"SNTA1",0,0,0,0.606302460320024
"COPS6",0,0,0,0.606303247556671
"SLC12A2",0,0,0,0.6063045062077
"CLPB",0,0,0,0.606424617000317
"MAPT",0,0,0,0.606735546151208
"CEL",0,0,0,0.606777961572703
"F8",0,0,0,0.607091867367611
"GAS2",0,0,0,0.607447959003528
"ILVBL",0,0,0,0.607473348674136
"MRPL48",0,0,0,0.607526026304902
"NT5DC2",0,0,0,0.60772065900759
"ADIPOR1",0,0,0,0.607734535470488
"ABCC2",0,0,0,0.607738821349541
"PAFAH2",0,0,0,0.608083961248087
"NFS1",0,0,0,0.608132286789609
"ZC3H7B",0,0,0,0.608862297922447
"NECAB2",0,0,0,0.609051558303822
"CRYL1",0,0,0,0.609051854247012
"TMEM115",0,0,0,0.60961811922984
"PEX26",0,0,0,0.610201483247959
"WWOX",0,0,0,0.610428237430421
"EXOSC7",0,0,0,0.610484525867681
"RSAD1",0,0,0,0.610632728164101
"PHKA2",0,0,0,0.610935515696803
"ESRP2",0,0,0,0.610949588590733
"CDADC1",0,0,0,0.610981968059031
"VPS13D",0,0,0,0.61110758157548
"TEX261",0,0,0,0.61122808193493
"PCCB",0,0,0,0.611392464944693
"PLOD1",0,0,0,0.611397502349955
"DMAC2",0,0,0,0.611458387079271
"PGM1",0,0,0,0.611789041314636
"FBXO22",0,0,0,0.612073414016106
"FAAH",0,0,0,0.612361875079795
"ATP6V0A1",0,0,0,0.612502238598055
"HDAC11",0,0,0,0.61268633229142
"C16orf58",0,0,0,0.612704675273852
"SLIT2",0,0,0,0.612756846380143
"SIRT5",0,0,0,0.612886687978579
"PLPPR1",0,0,0,0.613198147055564
"APOOL",0,0,0,0.61320402829192
"EYA2",0,0,0,0.613282188456632
"MRPL2",0,0,0,0.613315470473941
"PIGV",0,0,0,0.613722635640396
"ENTPD5",0,0,0,0.613957181689722
"SPHK2",0,0,0,0.613960901967878
"SMO",0,0,0,0.614146740148392
"MRPS22",0,0,0,0.614622586114464
"COQ9",0,0,0,0.614657968583337
"RBKS",0,0,0,0.615092144202119
"SIRT4",0,0,0,0.615340914731435
"TGFBR3",0,0,0,0.615371598708719
"FASTKD5",0,0,0,0.615543866466641
"FDX1",0,0,0,0.615695138769221
"ERLIN2",0,0,0,0.615911580289595
"MT3",0,0,0,0.61609144302012
"NDUFS2",0,0,0,0.616235922620808
"PGRMC2",0,0,0,0.616296669360221
"ALDH1L1",0,0,0,0.617098330846143
"TUBGCP3",0,0,0,0.617221587879945
"ECHDC3",0,0,0,0.617277693573742
"SLC22A4",0,0,0,0.617551806745419
"ANGPTL3",0,0,0,0.61768519633224
"DNAJC6",0,0,0,0.617829338847121
"GLRX5",0,0,0,0.617837956516754
"CREM",0,0,0,0.617909329474324
"ASL",0,0,0,0.618067582060652
"PC",0,0,0,0.618197336914246
"GJA5",0,0,0,0.61834750691958
"GJA3",0,0,0,0.618947021627577
"TCTN3",0,0,0,0.619030006267295
"NPHS2",0,0,0,0.619201764748945
"SH3GL2",0,0,0,0.619341734296172
"DHRS11",0,0,0,0.619387696523908
"ST3GAL6",0,0,0,0.619387869032268
"SUOX",0,0,0,0.619578502138262
"PEX7",0,0,0,0.62008356151038
"ALG8",0,0,0,0.620293248004631
"MPDU1",0,0,0,0.620398108464272
"PDSS2",0,0,0,0.620580575692762
"COBL",0,0,0,0.620647938456616
"MLYCD",0,0,0,0.620684187419041
"FBXO17",0,0,0,0.620704491342145
"CALB1",0,0,0,0.620844869814508
"CDK18",0,0,0,0.620944918079602
"FBXO21",0,0,0,0.621007579403891
"NRSN2",0,0,0,0.621125648127629
"PLG",0,0,0,0.621215143669918
"TPD52",0,0,0,0.621370160189695
"MRPS15",0,0,0,0.621523150395804
"ATP6AP1",0,0,0,0.621546542907612
"RITA1",0,0,0,0.621602399012776
"C1orf56",0,0,0,0.621734585323383
"RASSF8",0,0,0,0.621791117491073
"SDHB",0,0,0,0.621795381352396
"PACRG",0,0,0,0.621910104482021
"FH",0,0,0,0.62191451456333
"DDX25",0,0,0,0.621993219296781
"ALS2CL",0,0,0,0.622019749963373
"ADCY1",0,0,0,0.623140468698022
"ETNK2",0,0,0,0.623457839513124
"PCOLCE2",0,0,0,0.623970569413665
"MTFR1",0,0,0,0.624115142725969
"NAGLU",0,0,0,0.624268766239648
"NSDHL",0,0,0,0.624340141087033
"SEMA3B",0,0,0,0.624392065906134
"SLC12A6",0,0,0,0.624398546071304
"FABP3",0,0,0,0.6244941685942
"EXPH5",0,0,0,0.624970221280188
"ATP6V0E2",0,0,0,0.624996525289751
"LONRF3",0,0,0,0.625287145377066
"ACAD8",0,0,0,0.625369743540697
"EPM2A",0,0,0,0.625451190596119
"AHCYL1",0,0,0,0.625574706567848
"ATP6V1E1",0,0,0,0.625935646844377
"CDKL1",0,0,0,0.626007891732598
"IL1RL1",0,0,0,0.626193221547687
"RABGGTB",0,0,0,0.626214767013506
"HSD11B2",0,0,0,0.626294769819257
"KDR",0,0,0,0.626523380725837
"AMT",0,0,0,0.626820841246336
"CLCN6",0,0,0,0.626958068656225
"RDH11",0,0,0,0.626991745812912
"TBCE",0,0,0,0.627144630854195
"CALM1",0,0,0,0.627174505359912
"SIK3",0,0,0,0.627416558095538
"EMX1",0,0,0,0.627575927207767
"DNASE1",0,0,0,0.627700604618433
"MAPKAP1",0,0,0,0.628070011654092
"TOM1L2",0,0,0,0.628109900698185
"CAT",0,0,0,0.628210531827421
"ABHD10",0,0,0,0.628309214160878
"SNX4",0,0,0,0.628382956174255
"ABLIM3",0,0,0,0.628458096560482
"KYAT1",0,0,0,0.628650118160813
"MFAP3L",0,0,0,0.629062653841778
"RNF14",0,0,0,0.629103854664438
"DEXI",0,0,0,0.629165124342185
"TAF7L",0,0,0,0.629242441805702
"TM7SF2",0,0,0,0.629285784324783
"RPAP1",0,0,0,0.629443794487336
"CYC1",0,0,0,0.629484976693839
"OSBP2",0,0,0,0.629711676956365
"EMCN",0,0,0,0.629746273661141
"ABHD6",0,0,0,0.629791860730353
"PTPRO",0,0,0,0.630106762279281
"ZHX3",0,0,0,0.630418137599894
"MAOB",0,0,0,0.630472545029413
"LPCAT3",0,0,0,0.63076105207911
"CD320",0,0,0,0.630773012102231
"UQCRC1",0,0,0,0.630819845840116
"ARHGEF12",0,0,0,0.631032873727553
"PSME3",0,0,0,0.631042381738125
"LDHB",0,0,0,0.631207928058046
"ALDH1B1",0,0,0,0.631336184139852
"HPN",0,0,0,0.631370527271381
"AIFM1",0,0,0,0.631718718016154
"NDUFS4",0,0,0,0.631725185882024
"CORO2B",0,0,0,0.631814320800169
"ZDHHC3",0,0,0,0.63188172710419
"PDK2",0,0,0,0.631927566284462
"NDUFB8",0,0,0,0.632063778096348
"APEH",0,0,0,0.63212383794267
"GLUD2",0,0,0,0.632214686733153
"NDUFS8",0,0,0,0.632338202515914
"RNF128",0,0,0,0.632380619689516
"SAP18",0,0,0,0.632569848446512
"EPN3",0,0,0,0.63272262152812
"COX10",0,0,0,0.632789032854615
"PRSS8",0,0,0,0.632989350569487
"SSTR2",0,0,0,0.633299159354818
"PEX19",0,0,0,0.633360927339056
"SULT1C2",0,0,0,0.633361628082155
"AVPR1A",0,0,0,0.633373041837455
"MAP7",0,0,0,0.633640097776399
"COQ6",0,0,0,0.633767085514966
"PLD1",0,0,0,0.633994033491366
"CCDC25",0,0,0,0.634056463429229
"TOM1",0,0,0,0.634082862574672
"OGDH",0,0,0,0.634154059944257
"SC5D",0,0,0,0.634162039347775
"GCNT2",0,0,0,0.634197299400111
"MDH1",0,0,0,0.63435781382336
"ARHGEF28",0,0,0,0.634614748239386
"ABCA5",0,0,0,0.634677776116491
"SIGMAR1",0,0,0,0.634759926445366
"ATP5F1B",0,0,0,0.634774159577686
"ACAT1",0,0,0,0.634816787577186
"HSDL2",0,0,0,0.634969929418956
"SHANK2",0,0,0,0.635146502013048
"MINDY1",0,0,0,0.635268913001157
"MRPS35",0,0,0,0.635283739247111
"STAP1",0,0,0,0.635327216501507
"CDK16",0,0,0,0.635478308167396
"ACO2",0,0,0,0.635722182727557
"ZER1",0,0,0,0.635856724983451
"ACAT2",0,0,0,0.635954980864411
"ACSS3",0,0,0,0.636285135022575
"PXMP4",0,0,0,0.636419614102768
"WDR59",0,0,0,0.636453014674945
"PANK3",0,0,0,0.636469005230568
"STAC",0,0,0,0.636493085996514
"SMUG1",0,0,0,0.636619145652536
"ACO1",0,0,0,0.636809221532249
"ASB9",0,0,0,0.636888717798087
"SLC39A4",0,0,0,0.637037261112691
"BDH1",0,0,0,0.637089721946353
"NDUFA9",0,0,0,0.637110001025267
"MPC2",0,0,0,0.63711689166354
"PPARA",0,0,0,0.637131998889237
"IGF1R",0,0,0,0.637289711578605
"ARL2",0,0,0,0.637558030755594
"DOLK",0,0,0,0.637589213118816
"EFHD1",0,0,0,0.637753225830669
"BNIP3",0,0,0,0.638177663035849
"CWH43",0,0,0,0.638316795765029
"NARS2",0,0,0,0.638320976031864
"ARHGEF17",0,0,0,0.638975126309117
"APLP1",0,0,0,0.638999001162007
"CLIC5",0,0,0,0.639014312234058
"SLC4A2",0,0,0,0.639052103395071
"SIRT3",0,0,0,0.639115336389014
"PRKAG2",0,0,0,0.639539090099708
"SCN9A",0,0,0,0.639609487835242
"CTH",0,0,0,0.639928516296785
"NDST1",0,0,0,0.640027997295159
"ATP1B2",0,0,0,0.640316194427736
"ROGDI",0,0,0,0.640706251771464
"TOLLIP",0,0,0,0.64085754513721
"VTI1B",0,0,0,0.641015866743645
"LRPAP1",0,0,0,0.641158316788678
"NELL1",0,0,0,0.641287017872631
"CYFIP2",0,0,0,0.641430413038705
"SLC16A10",0,0,0,0.641453661681712
"ATP5MC1",0,0,0,0.641456088156457
"AIMP2",0,0,0,0.641461704151147
"ASB8",0,0,0,0.641639899017542
"TXNRD2",0,0,0,0.641670386697984
"PRKCZ",0,0,0,0.64177745828084
"UFSP2",0,0,0,0.641863565709054
"NR2F6",0,0,0,0.641966951653863
"GRB14",0,0,0,0.642116767524407
"EXD2",0,0,0,0.642189930142057
"HPGD",0,0,0,0.642189958044587
"POLR3B",0,0,0,0.642370979289329
"PDE1C",0,0,0,0.642497815563919
"ARL15",0,0,0,0.642506527992615
"SCNN1B",0,0,0,0.64257759911779
"DNAJC11",0,0,0,0.642584779593659
"CPT2",0,0,0,0.642664735681897
"CYP46A1",0,0,0,0.643181756961107
"CKB",0,0,0,0.643189911070348
"SSX2IP",0,0,0,0.643363085040148
"ARFIP2",0,0,0,0.643410718743607
"SLC22A6",0,0,0,0.643460105327634
"TMBIM6",0,0,0,0.64346594430055
"GALT",0,0,0,0.643764948368127
"PEPD",0,0,0,0.643856408388533
"PKLR",0,0,0,0.643966590246606
"PSEN2",0,0,0,0.643984453489766
"TSG101",0,0,0,0.644073748952016
"UQCR10",0,0,0,0.644097057770771
"DLD",0,0,0,0.6441275318902
"ST8SIA5",0,0,0,0.644138944535669
"SPRYD7",0,0,0,0.644165252883766
"DNAJA2",0,0,0,0.644177726503428
"SPINK1",0,0,0,0.644294947551459
"SFXN1",0,0,0,0.644335921725873
"SLC37A4",0,0,0,0.644336475649022
"ACTR1B",0,0,0,0.644404483312266
"FGFBP1",0,0,0,0.644452760542634
"FAH",0,0,0,0.644515022579991
"NEBL",0,0,0,0.644619418796992
"PAICS",0,0,0,0.644909712955107
"CHI3L1",0,0,0,0.645057940689219
"MOCS2",0,0,0,0.645228486040287
"GSS",0,0,0,0.645368475445593
"PDE8A",0,0,0,0.645527911825908
"PEX10",0,0,0,0.645965342535242
"CYP17A1",0,0,0,0.646043048466475
"UQCC1",0,0,0,0.646185768217529
"MINPP1",0,0,0,0.646357288876699
"PLEKHB1",0,0,0,0.646481830946224
"SLC35A3",0,0,0,0.646643692827455
"RAB11FIP3",0,0,0,0.646772804641143
"POMT1",0,0,0,0.646828480928553
"GSTM4",0,0,0,0.646915229346143
"ME3",0,0,0,0.647081338704159
"CLN8",0,0,0,0.647383343400151
"MARC1",0,0,0,0.647417423944805
"NR4A1",0,0,0,0.647497090343862
"BTD",0,0,0,0.648017824349547
"SNX27",0,0,0,0.648092488448382
"OSBPL1A",0,0,0,0.648342663819162
"PMVK",0,0,0,0.648371559540138
"AQP3",0,0,0,0.648495794345029
"MFN2",0,0,0,0.648505786734418
"NUDT6",0,0,0,0.648589553350393
"IMPA2",0,0,0,0.648629303163694
"ENDOG",0,0,0,0.648679168812245
"ECSIT",0,0,0,0.648686094239623
"OCEL1",0,0,0,0.648686452457565
"ST18",0,0,0,0.648698635958045
"MRPS2",0,0,0,0.648768302603576
"MPC1",0,0,0,0.648769904013608
"EPB41L4B",0,0,0,0.648817665415416
"PFKM",0,0,0,0.648896562645392
"EHBP1",0,0,0,0.64893805097211
"UPB1",0,0,0,0.648951514341326
"SLC5A6",0,0,0,0.648955765385145
"TUBAL3",0,0,0,0.649074049312467
"CCNB1IP1",0,0,0,0.649106306493444
"SLC35D1",0,0,0,0.649273181545076
"MKKS",0,0,0,0.64936793862062
"RAP1GAP",0,0,0,0.649528789647496
"PAK4",0,0,0,0.64956086446583
"PEX3",0,0,0,0.649610219105138
"RMND5B",0,0,0,0.649740562019801
"PDZD8",0,0,0,0.65009088952456
"C1orf115",0,0,0,0.650150786819383
"FA2H",0,0,0,0.650282445771179
"ADGRF1",0,0,0,0.650300810950837
"ATP6V1C1",0,0,0,0.650306321100305
"ATP5F1A",0,0,0,0.650817153142049
"CLMN",0,0,0,0.65087878052189
"AHCY",0,0,0,0.650932365314758
"MARC2",0,0,0,0.651036071483633
"PLEKHA5",0,0,0,0.651229396822589
"NDRG2",0,0,0,0.651323831620359
"SDHAF3",0,0,0,0.651548583733535
"NPHS1",0,0,0,0.651671959068835
"ADCY9",0,0,0,0.65192816539726
"CLPTM1",0,0,0,0.651993475326397
"RALYL",0,0,0,0.65214835978047
"ANK2",0,0,0,0.652229004221778
"ACAA1",0,0,0,0.652272879934592
"GCDH",0,0,0,0.652343251815335
"ADH5",0,0,0,0.652597127144792
"CDIP1",0,0,0,0.652619394559902
"TSPAN7",0,0,0,0.65274958990921
"LMBRD1",0,0,0,0.652797207778486
"TEX264",0,0,0,0.65285212798357
"SHARPIN",0,0,0,0.653512090058588
"CIDEB",0,0,0,0.653540678082858
"HAO1",0,0,0,0.653655288933537
"SETMAR",0,0,0,0.653974126630797
"SLC25A10",0,0,0,0.653990280921051
"RAB3A",0,0,0,0.654017163464084
"SLC7A10",0,0,0,0.654162392983818
"TPMT",0,0,0,0.654189892926832
"HRG",0,0,0,0.654557690045677
"CACNA1D",0,0,0,0.654814515498817
"EMC1",0,0,0,0.654900984168813
"INKA2",0,0,0,0.654917055677106
"CISD1",0,0,0,0.655494940395757
"MRPS7",0,0,0,0.655501080483337
"PHF7",0,0,0,0.655770237115257
"ABCB6",0,0,0,0.656124521700052
"GRTP1",0,0,0,0.656190412479343
"TFAP2A",0,0,0,0.656325313275491
"STUB1",0,0,0,0.65643208411794
"ATP1A1",0,0,0,0.656705685774235
"GRHPR",0,0,0,0.656728160301444
"SUCLG2",0,0,0,0.656755612748954
"FOLR3",0,0,0,0.656894241453757
"GPR137",0,0,0,0.657141895620084
"ATP6V1B1",0,0,0,0.657188447657453
"ETFB",0,0,0,0.657393306693679
"PHYH",0,0,0,0.657483037560491
"ATXN7L1",0,0,0,0.657522380133736
"SCAP",0,0,0,0.657653042727324
"DLST",0,0,0,0.657718834351355
"KIAA0232",0,0,0,0.657734838241038
"PCBD1",0,0,0,0.657776653055052
"SLC26A4",0,0,0,0.657945807091622
"WBP2",0,0,0,0.657948317547036
"TACC2",0,0,0,0.657958192031504
"CHCHD3",0,0,0,0.658098240337418
"POLR2C",0,0,0,0.658212823159077
"CRYZ",0,0,0,0.658230333512892
"MAB21L4",0,0,0,0.658250436553268
"PPIF",0,0,0,0.658380705882802
"AKAP1",0,0,0,0.658417779055935
"HTRA1",0,0,0,0.658530410335437
"CYB5A",0,0,0,0.658661921748804
"PEBP1",0,0,0,0.658690362182169
"ZGPAT",0,0,0,0.658730342436408
"ALLC",0,0,0,0.658925788846361
"ITPR1",0,0,0,0.659003212304244
"ATP5F1C",0,0,0,0.659052596223196
"RAB11FIP5",0,0,0,0.659139821060863
"MAGI1",0,0,0,0.65927579037495
"ATP6V1G2",0,0,0,0.65936405510605
"KIAA0391",0,0,0,0.659848502646179
"SHC3",0,0,0,0.660207658986631
"MCOLN3",0,0,0,0.660460960012404
"UAP1",0,0,0,0.66058952631808
"USP5",0,0,0,0.660654411163179
"PDZRN3",0,0,0,0.660884339046773
"VPS26C",0,0,0,0.660911723007971
"CBR1",0,0,0,0.661306656651548
"MARK1",0,0,0,0.661326619002173
"TRPM3",0,0,0,0.661349601866985
"MCAT",0,0,0,0.661439516668269
"MSRA",0,0,0,0.661525200537294
"ZCCHC14",0,0,0,0.661599821570111
"VAC14",0,0,0,0.661726436496029
"FASTKD2",0,0,0,0.661769058678997
"AP3B1",0,0,0,0.661939133183267
"UBOX5",0,0,0,0.661969813757907
"DUSP3",0,0,0,0.661972012055709
"SLC3A2",0,0,0,0.661981304296898
"ZSCAN5A",0,0,0,0.662261476961577
"DCTN1",0,0,0,0.662468164246899
"ADI1",0,0,0,0.662542949709491
"DLEU1",0,0,0,0.662608590498888
"FHIT",0,0,0,0.66266209087179
"ARHGAP24",0,0,0,0.662699434869151
"FAM50B",0,0,0,0.66289695502908
"THAP9",0,0,0,0.663050981003402
"CES2",0,0,0,0.663245746505942
"GRAMD1C",0,0,0,0.663250973895299
"PSMD9",0,0,0,0.663286501269182
"SCNN1A",0,0,0,0.663409329457537
"PRLR",0,0,0,0.663411938015045
"ALDH6A1",0,0,0,0.663465414342935
"GPS2",0,0,0,0.663500966843894
"PLA2G12A",0,0,0,0.66355719740676
"AUH",0,0,0,0.663619834862609
"ELAVL1",0,0,0,0.664018280732905
"HDDC2",0,0,0,0.664051471735661
"ASB13",0,0,0,0.664215140326364
"TP53TG5",0,0,0,0.664415911245799
"TMEM94",0,0,0,0.66459809965627
"SLC26A6",0,0,0,0.66462375709463
"DLGAP2",0,0,0,0.664645004586129
"ICMT",0,0,0,0.664660511432843
"DCXR",0,0,0,0.665037214806102
"UROD",0,0,0,0.665038736096081
"UQCRC2",0,0,0,0.66510283195886
"MRPL42",0,0,0,0.665320174587304
"EHD3",0,0,0,0.665440199824521
"MICU1",0,0,0,0.66560049705983
"MRPS18B",0,0,0,0.665793758446464
"LARP6",0,0,0,0.665872765254944
"PCTP",0,0,0,0.665897338894056
"HMOX2",0,0,0,0.665912412590525
"SLC1A1",0,0,0,0.665924449645579
"NPAS2",0,0,0,0.666057084213668
"ZC2HC1C",0,0,0,0.666371957097137
"WDTC1",0,0,0,0.666390808837017
"SLC7A8",0,0,0,0.666475858181618
"SDHD",0,0,0,0.666634061278771
"UBE2D4",0,0,0,0.666651643644551
